bid_price_1,bid_volume_1,ask_price_1,ask_volume_1,product,timestamp
145,0,143,1,CUTHS_STOCKS,2400
95,0,91,0,HATFIELD_STOCKS,2500
90,0,88,0,COLLINGWOOD_STOCKS,2500
211,3,209,2,CHADS_STOCKS,2500
89,0,87,0,JOHNS_STOCKS,2500
204,9,196,7,CASTLE_STOCKS,2500
145,0,143,0,CUTHS_STOCKS,2500
94,0,92,0,HATFIELD_STOCKS,2600
90,2,88,2,COLLINGWOOD_STOCKS,2600
212,0,208,0,CHADS_STOCKS,2600
90,2,86,1,JOHNS_STOCKS,2600
204,0,196,0,CASTLE_STOCKS,2600
145,0,141,0,CUTHS_STOCKS,2600
93,2,91,3,HATFIELD_STOCKS,2700
89,0,85,0,COLLINGWOOD_STOCKS,2700
213,3,209,3,CHADS_STOCKS,2700
89,3,85,0,JOHNS_STOCKS,2700
204,0,196,0,CASTLE_STOCKS,2700
145,0,141,0,CUTHS_STOCKS,2700
94,1,90,0,HATFIELD_STOCKS,2800
88,0,86,0,COLLINGWOOD_STOCKS,2800
212,0,208,0,CHADS_STOCKS,2800
89,0,85,2,JOHNS_STOCKS,2800
204,1,196,2,CASTLE_STOCKS,2800
144,0,140,4,CUTHS_STOCKS,2800
92,1,90,0,HATFIELD_STOCKS,2900
88,1,84,0,COLLINGWOOD_STOCKS,2900
212,4,210,4,CHADS_STOCKS,2900
92,0,88,2,JOHNS_STOCKS,2900
204,9,196,0,CASTLE_STOCKS,2900
143,0,141,0,CUTHS_STOCKS,2900
93,1,89,2,HATFIELD_STOCKS,3000
89,1,85,1,COLLINGWOOD_STOCKS,3000
214,1,210,3,CHADS_STOCKS,3000
92,1,88,0,JOHNS_STOCKS,3000
204,10,196,9,CASTLE_STOCKS,3000
144,4,140,1,CUTHS_STOCKS,3000
93,3,89,4,HATFIELD_STOCKS,3100
88,0,86,0,COLLINGWOOD_STOCKS,3100
216,1,212,0,CHADS_STOCKS,3100
90,4,86,0,JOHNS_STOCKS,3100
205,5,197,4,CASTLE_STOCKS,3100
144,0,140,4,CUTHS_STOCKS,3100
93,0,91,0,HATFIELD_STOCKS,3200
89,0,85,0,COLLINGWOOD_STOCKS,3200
213,0,211,0,CHADS_STOCKS,3200
87,1,85,2,JOHNS_STOCKS,3200
205,9,197,13,CASTLE_STOCKS,3200
143,3,141,1,CUTHS_STOCKS,3200
94,1,92,0,HATFIELD_STOCKS,3300
90,4,86,0,COLLINGWOOD_STOCKS,3300
213,0,209,0,CHADS_STOCKS,3300
87,2,85,1,JOHNS_STOCKS,3300
204,10,196,6,CASTLE_STOCKS,3300
143,1,139,3,CUTHS_STOCKS,3300
94,1,92,3,HATFIELD_STOCKS,3400
91,0,87,0,COLLINGWOOD_STOCKS,3400
212,1,208,1,CHADS_STOCKS,3400
86,4,82,3,JOHNS_STOCKS,3400
203,0,197,1,CASTLE_STOCKS,3400
142,0,140,0,CUTHS_STOCKS,3400
95,1,91,0,HATFIELD_STOCKS,3500
90,0,86,0,COLLINGWOOD_STOCKS,3500
213,0,209,0,CHADS_STOCKS,3500
86,0,82,0,JOHNS_STOCKS,3500
203,0,195,0,CASTLE_STOCKS,3500
143,0,139,2,CUTHS_STOCKS,3500
95,0,91,0,HATFIELD_STOCKS,3600
91,0,87,0,COLLINGWOOD_STOCKS,3600
213,1,209,0,CHADS_STOCKS,3600
87,0,83,1,JOHNS_STOCKS,3600
203,1,195,1,CASTLE_STOCKS,3600
144,1,140,1,CUTHS_STOCKS,3600
96,0,92,0,HATFIELD_STOCKS,3700
91,1,87,0,COLLINGWOOD_STOCKS,3700
212,1,208,2,CHADS_STOCKS,3700
85,0,81,0,JOHNS_STOCKS,3700
203,3,195,0,CASTLE_STOCKS,3700
144,1,140,1,CUTHS_STOCKS,3700
95,0,91,0,HATFIELD_STOCKS,3800
90,0,86,0,COLLINGWOOD_STOCKS,3800
211,2,207,0,CHADS_STOCKS,3800
83,0,81,0,JOHNS_STOCKS,3800
204,4,196,7,CASTLE_STOCKS,3800
145,1,141,0,CUTHS_STOCKS,3800
95,0,93,0,HATFIELD_STOCKS,3900
90,0,86,0,COLLINGWOOD_STOCKS,3900
210,1,206,1,CHADS_STOCKS,3900
84,2,80,2,JOHNS_STOCKS,3900
202,12,196,10,CASTLE_STOCKS,3900
144,0,142,0,CUTHS_STOCKS,3900
94,4,92,0,HATFIELD_STOCKS,4000
90,0,86,0,COLLINGWOOD_STOCKS,4000
210,1,206,0,CHADS_STOCKS,4000
83,0,79,0,JOHNS_STOCKS,4000
202,1,196,1,CASTLE_STOCKS,4000
143,0,141,0,CUTHS_STOCKS,4000
95,2,91,2,HATFIELD_STOCKS,4100
89,0,87,3,COLLINGWOOD_STOCKS,4100
211,2,207,1,CHADS_STOCKS,4100
85,1,81,1,JOHNS_STOCKS,4100
203,6,195,7,CASTLE_STOCKS,4100
144,0,142,0,CUTHS_STOCKS,4100
95,0,91,0,HATFIELD_STOCKS,4200
89,3,87,0,COLLINGWOOD_STOCKS,4200
210,0,206,0,CHADS_STOCKS,4200
84,0,80,0,JOHNS_STOCKS,4200
203,0,195,8,CASTLE_STOCKS,4200
145,0,141,2,CUTHS_STOCKS,4200
95,0,91,0,HATFIELD_STOCKS,4300
90,3,86,1,COLLINGWOOD_STOCKS,4300
208,1,206,1,CHADS_STOCKS,4300
86,2,84,2,JOHNS_STOCKS,4300
203,1,195,1,CASTLE_STOCKS,4300
145,2,141,0,CUTHS_STOCKS,4300
94,0,92,0,HATFIELD_STOCKS,4400
90,1,86,1,COLLINGWOOD_STOCKS,4400
209,1,205,0,CHADS_STOCKS,4400
85,2,83,3,JOHNS_STOCKS,4400
203,1,195,1,CASTLE_STOCKS,4400
143,0,141,0,CUTHS_STOCKS,4400
95,2,91,4,HATFIELD_STOCKS,4500
90,3,86,0,COLLINGWOOD_STOCKS,4500
208,0,204,0,CHADS_STOCKS,4500
86,0,82,0,JOHNS_STOCKS,4500
203,0,195,1,CASTLE_STOCKS,4500
145,0,141,0,CUTHS_STOCKS,4500
94,0,92,0,HATFIELD_STOCKS,4600
90,0,88,0,COLLINGWOOD_STOCKS,4600
206,0,202,0,CHADS_STOCKS,4600
86,0,82,0,JOHNS_STOCKS,4600
202,6,196,6,CASTLE_STOCKS,4600
143,0,139,0,CUTHS_STOCKS,4600
96,2,92,2,HATFIELD_STOCKS,4700
92,0,88,0,COLLINGWOOD_STOCKS,4700
205,0,201,0,CHADS_STOCKS,4700
85,1,83,1,JOHNS_STOCKS,4700
203,0,195,10,CASTLE_STOCKS,4700
143,0,141,0,CUTHS_STOCKS,4700
93,2,91,4,HATFIELD_STOCKS,4800
89,1,87,1,COLLINGWOOD_STOCKS,4800
206,3,204,0,CHADS_STOCKS,4800
85,0,83,2,JOHNS_STOCKS,4800
203,1,195,0,CASTLE_STOCKS,4800
142,1,140,0,CUTHS_STOCKS,4800
94,0,90,0,HATFIELD_STOCKS,4900
89,0,85,0,COLLINGWOOD_STOCKS,4900
206,0,204,1,CHADS_STOCKS,4900
87,0,83,3,JOHNS_STOCKS,4900
203,3,195,3,CASTLE_STOCKS,4900
143,0,139,0,CUTHS_STOCKS,4900
94,0,90,1,HATFIELD_STOCKS,5000
90,0,86,0,COLLINGWOOD_STOCKS,5000
207,0,203,0,CHADS_STOCKS,5000
87,1,83,1,JOHNS_STOCKS,5000
202,3,196,1,CASTLE_STOCKS,5000
142,1,140,4,CUTHS_STOCKS,5000
95,0,91,0,HATFIELD_STOCKS,5100
89,1,85,2,COLLINGWOOD_STOCKS,5100
208,1,204,0,CHADS_STOCKS,5100
85,3,83,4,JOHNS_STOCKS,5100
203,0,195,0,CASTLE_STOCKS,5100
143,0,139,1,CUTHS_STOCKS,5100
94,2,90,1,HATFIELD_STOCKS,5200
88,0,84,0,COLLINGWOOD_STOCKS,5200
210,0,206,0,CHADS_STOCKS,5200
86,0,84,0,JOHNS_STOCKS,5200
202,10,196,11,CASTLE_STOCKS,5200
144,1,140,1,CUTHS_STOCKS,5200
95,0,91,0,HATFIELD_STOCKS,5300
87,0,85,4,COLLINGWOOD_STOCKS,5300
210,0,208,0,CHADS_STOCKS,5300
87,1,83,1,JOHNS_STOCKS,5300
203,5,195,7,CASTLE_STOCKS,5300
142,0,140,0,CUTHS_STOCKS,5300
94,0,92,1,HATFIELD_STOCKS,5400
88,1,84,3,COLLINGWOOD_STOCKS,5400
209,0,207,3,CHADS_STOCKS,5400
85,0,83,0,JOHNS_STOCKS,5400
203,3,195,7,CASTLE_STOCKS,5400
142,2,138,4,CUTHS_STOCKS,5400
95,0,91,0,HATFIELD_STOCKS,5500
88,2,86,0,COLLINGWOOD_STOCKS,5500
209,2,207,3,CHADS_STOCKS,5500
87,0,83,0,JOHNS_STOCKS,5500
203,6,197,5,CASTLE_STOCKS,5500
141,2,139,2,CUTHS_STOCKS,5500
95,1,93,2,HATFIELD_STOCKS,5600
89,0,87,1,COLLINGWOOD_STOCKS,5600
209,1,205,1,CHADS_STOCKS,5600
86,4,84,2,JOHNS_STOCKS,5600
204,9,196,7,CASTLE_STOCKS,5600
141,1,139,0,CUTHS_STOCKS,5600
96,0,92,0,HATFIELD_STOCKS,5700
88,2,86,2,COLLINGWOOD_STOCKS,5700
209,1,205,0,CHADS_STOCKS,5700
86,2,82,2,JOHNS_STOCKS,5700
204,1,196,0,CASTLE_STOCKS,5700
141,1,137,1,CUTHS_STOCKS,5700
95,0,93,0,HATFIELD_STOCKS,5800
89,0,87,0,COLLINGWOOD_STOCKS,5800
210,2,206,3,CHADS_STOCKS,5800
85,0,83,0,JOHNS_STOCKS,5800
204,1,196,4,CASTLE_STOCKS,5800
142,1,138,1,CUTHS_STOCKS,5800
97,0,93,0,HATFIELD_STOCKS,5900
90,0,86,0,COLLINGWOOD_STOCKS,5900
212,0,208,0,CHADS_STOCKS,5900
88,0,84,1,JOHNS_STOCKS,5900
204,0,196,0,CASTLE_STOCKS,5900
142,2,138,0,CUTHS_STOCKS,5900
97,0,93,0,HATFIELD_STOCKS,6000
91,1,87,1,COLLINGWOOD_STOCKS,6000
212,0,208,0,CHADS_STOCKS,6000
88,1,84,1,JOHNS_STOCKS,6000
203,4,197,3,CASTLE_STOCKS,6000
142,2,140,1,CUTHS_STOCKS,6000
97,0,93,0,HATFIELD_STOCKS,6100
91,4,87,4,COLLINGWOOD_STOCKS,6100
210,0,208,0,CHADS_STOCKS,6100
86,1,84,1,JOHNS_STOCKS,6100
203,1,197,5,CASTLE_STOCKS,6100
143,1,141,2,CUTHS_STOCKS,6100
98,0,94,0,HATFIELD_STOCKS,6200
90,1,86,1,COLLINGWOOD_STOCKS,6200
209,2,207,2,CHADS_STOCKS,6200
87,2,83,0,JOHNS_STOCKS,6200
205,8,197,2,CASTLE_STOCKS,6200
144,0,140,0,CUTHS_STOCKS,6200
97,3,95,4,HATFIELD_STOCKS,6300
90,0,86,0,COLLINGWOOD_STOCKS,6300
208,1,206,0,CHADS_STOCKS,6300
87,0,83,0,JOHNS_STOCKS,6300
204,2,198,2,CASTLE_STOCKS,6300
144,1,142,1,CUTHS_STOCKS,6300
98,2,94,0,HATFIELD_STOCKS,6400
90,0,88,0,COLLINGWOOD_STOCKS,6400
210,0,206,0,CHADS_STOCKS,6400
90,1,86,0,JOHNS_STOCKS,6400
205,1,197,10,CASTLE_STOCKS,6400
145,1,141,0,CUTHS_STOCKS,6400
99,2,95,1,HATFIELD_STOCKS,6500
91,4,89,2,COLLINGWOOD_STOCKS,6500
209,0,205,0,CHADS_STOCKS,6500
89,0,87,0,JOHNS_STOCKS,6500
205,2,197,9,CASTLE_STOCKS,6500
143,4,141,0,CUTHS_STOCKS,6500
98,0,94,0,HATFIELD_STOCKS,6600
90,1,88,0,COLLINGWOOD_STOCKS,6600
210,0,208,0,CHADS_STOCKS,6600
90,3,86,0,JOHNS_STOCKS,6600
205,0,197,1,CASTLE_STOCKS,6600
142,0,138,0,CUTHS_STOCKS,6600
98,0,94,0,HATFIELD_STOCKS,6700
90,0,86,2,COLLINGWOOD_STOCKS,6700
208,0,206,0,CHADS_STOCKS,6700
88,1,86,4,JOHNS_STOCKS,6700
204,4,198,3,CASTLE_STOCKS,6700
143,0,139,0,CUTHS_STOCKS,6700
98,0,96,0,HATFIELD_STOCKS,6800
90,1,88,2,COLLINGWOOD_STOCKS,6800
209,0,205,0,CHADS_STOCKS,6800
90,1,86,1,JOHNS_STOCKS,6800
205,5,199,7,CASTLE_STOCKS,6800
143,0,139,0,CUTHS_STOCKS,6800
99,1,95,2,HATFIELD_STOCKS,6900
91,1,87,3,COLLINGWOOD_STOCKS,6900
210,4,206,2,CHADS_STOCKS,6900
91,0,87,3,JOHNS_STOCKS,6900
205,5,199,4,CASTLE_STOCKS,6900
144,0,140,0,CUTHS_STOCKS,6900
99,0,95,0,HATFIELD_STOCKS,7000
91,2,87,3,COLLINGWOOD_STOCKS,7000
213,0,209,0,CHADS_STOCKS,7000
92,3,90,4,JOHNS_STOCKS,7000
205,10,197,2,CASTLE_STOCKS,7000
143,0,139,1,CUTHS_STOCKS,7000
98,0,94,0,HATFIELD_STOCKS,7100
90,1,88,3,COLLINGWOOD_STOCKS,7100
213,1,209,1,CHADS_STOCKS,7100
96,2,92,0,JOHNS_STOCKS,7100
205,2,197,7,CASTLE_STOCKS,7100
142,0,140,0,CUTHS_STOCKS,7100
98,3,96,3,HATFIELD_STOCKS,7200
91,0,87,0,COLLINGWOOD_STOCKS,7200
214,3,210,1,CHADS_STOCKS,7200
96,0,94,0,JOHNS_STOCKS,7200
205,0,197,0,CASTLE_STOCKS,7200
141,1,139,2,CUTHS_STOCKS,7200
98,0,94,1,HATFIELD_STOCKS,7300
90,0,88,0,COLLINGWOOD_STOCKS,7300
212,0,208,0,CHADS_STOCKS,7300
96,0,94,0,JOHNS_STOCKS,7300
206,2,198,0,CASTLE_STOCKS,7300
143,0,139,1,CUTHS_STOCKS,7300
98,0,94,0,HATFIELD_STOCKS,7400
89,0,87,0,COLLINGWOOD_STOCKS,7400
211,0,207,0,CHADS_STOCKS,7400
98,1,96,0,JOHNS_STOCKS,7400
206,1,198,11,CASTLE_STOCKS,7400
143,0,139,0,CUTHS_STOCKS,7400
98,3,94,3,HATFIELD_STOCKS,7500
91,2,87,2,COLLINGWOOD_STOCKS,7500
213,4,209,4,CHADS_STOCKS,7500
99,2,95,2,JOHNS_STOCKS,7500
205,1,199,4,CASTLE_STOCKS,7500
144,0,140,1,CUTHS_STOCKS,7500
97,0,93,0,HATFIELD_STOCKS,7600
91,0,87,0,COLLINGWOOD_STOCKS,7600
213,0,209,0,CHADS_STOCKS,7600
100,1,96,2,JOHNS_STOCKS,7600
206,8,200,7,CASTLE_STOCKS,7600
144,2,140,2,CUTHS_STOCKS,7600
97,3,93,3,HATFIELD_STOCKS,7700
90,0,88,0,COLLINGWOOD_STOCKS,7700
212,4,208,3,CHADS_STOCKS,7700
99,0,97,0,JOHNS_STOCKS,7700
207,6,199,0,CASTLE_STOCKS,7700
145,0,141,2,CUTHS_STOCKS,7700
95,1,91,1,HATFIELD_STOCKS,7800
90,1,86,2,COLLINGWOOD_STOCKS,7800
213,2,209,0,CHADS_STOCKS,7800
99,0,95,0,JOHNS_STOCKS,7800
207,0,199,0,CASTLE_STOCKS,7800
145,1,141,1,CUTHS_STOCKS,7800
96,0,92,2,HATFIELD_STOCKS,7900
89,0,87,2,COLLINGWOOD_STOCKS,7900
215,0,211,0,CHADS_STOCKS,7900
98,0,94,0,JOHNS_STOCKS,7900
207,0,201,5,CASTLE_STOCKS,7900
145,0,143,0,CUTHS_STOCKS,7900
96,0,92,0,HATFIELD_STOCKS,8000
91,0,87,0,COLLINGWOOD_STOCKS,8000
216,0,212,0,CHADS_STOCKS,8000
98,1,94,0,JOHNS_STOCKS,8000
207,7,201,1,CASTLE_STOCKS,8000
146,4,142,0,CUTHS_STOCKS,8000
96,0,92,0,HATFIELD_STOCKS,8100
91,1,87,1,COLLINGWOOD_STOCKS,8100
215,0,211,0,CHADS_STOCKS,8100
97,0,93,0,JOHNS_STOCKS,8100
208,1,200,2,CASTLE_STOCKS,8100
147,0,143,1,CUTHS_STOCKS,8100
95,1,93,2,HATFIELD_STOCKS,8200
90,0,88,0,COLLINGWOOD_STOCKS,8200
214,0,210,0,CHADS_STOCKS,8200
96,0,92,0,JOHNS_STOCKS,8200
207,0,201,2,CASTLE_STOCKS,8200
146,2,144,2,CUTHS_STOCKS,8200
95,2,91,0,HATFIELD_STOCKS,8300
90,0,86,0,COLLINGWOOD_STOCKS,8300
213,3,209,0,CHADS_STOCKS,8300
93,0,89,0,JOHNS_STOCKS,8300
208,1,200,12,CASTLE_STOCKS,8300
146,0,144,0,CUTHS_STOCKS,8300
95,1,91,3,HATFIELD_STOCKS,8400
90,2,86,1,COLLINGWOOD_STOCKS,8400
213,0,209,1,CHADS_STOCKS,8400
92,0,88,0,JOHNS_STOCKS,8400
208,0,200,1,CASTLE_STOCKS,8400
146,0,144,1,CUTHS_STOCKS,8400
95,2,91,1,HATFIELD_STOCKS,8500
90,0,86,0,COLLINGWOOD_STOCKS,8500
213,2,209,1,CHADS_STOCKS,8500
92,0,90,0,JOHNS_STOCKS,8500
208,3,200,0,CASTLE_STOCKS,8500
146,0,144,0,CUTHS_STOCKS,8500
93,0,91,1,HATFIELD_STOCKS,8600
91,4,87,4,COLLINGWOOD_STOCKS,8600
213,0,209,0,CHADS_STOCKS,8600
92,1,90,0,JOHNS_STOCKS,8600
209,7,201,6,CASTLE_STOCKS,8600
146,1,142,1,CUTHS_STOCKS,8600
94,2,92,0,HATFIELD_STOCKS,8700
91,0,87,0,COLLINGWOOD_STOCKS,8700
214,0,212,0,CHADS_STOCKS,8700
93,0,89,0,JOHNS_STOCKS,8700
208,7,200,3,CASTLE_STOCKS,8700
146,0,142,0,CUTHS_STOCKS,8700
95,4,91,2,HATFIELD_STOCKS,8800
90,0,88,0,COLLINGWOOD_STOCKS,8800
218,0,214,0,CHADS_STOCKS,8800
90,0,88,0,JOHNS_STOCKS,8800
208,0,200,0,CASTLE_STOCKS,8800
147,0,143,0,CUTHS_STOCKS,8800
96,1,92,1,HATFIELD_STOCKS,8900
92,1,88,0,COLLINGWOOD_STOCKS,8900
219,1,215,0,CHADS_STOCKS,8900
90,2,86,0,JOHNS_STOCKS,8900
207,2,201,5,CASTLE_STOCKS,8900
147,2,143,2,CUTHS_STOCKS,8900
96,0,92,2,HATFIELD_STOCKS,9000
91,1,87,0,COLLINGWOOD_STOCKS,9000
220,0,216,0,CHADS_STOCKS,9000
89,1,85,0,JOHNS_STOCKS,9000
208,1,200,3,CASTLE_STOCKS,9000
146,0,142,0,CUTHS_STOCKS,9000
95,0,93,0,HATFIELD_STOCKS,9100
91,0,87,0,COLLINGWOOD_STOCKS,9100
220,0,216,0,CHADS_STOCKS,9100
87,0,83,0,JOHNS_STOCKS,9100
208,0,200,0,CASTLE_STOCKS,9100
145,1,141,1,CUTHS_STOCKS,9100
94,0,90,1,HATFIELD_STOCKS,9200
90,0,86,0,COLLINGWOOD_STOCKS,9200
219,2,215,0,CHADS_STOCKS,9200
88,0,86,0,JOHNS_STOCKS,9200
209,7,201,6,CASTLE_STOCKS,9200
144,0,142,0,CUTHS_STOCKS,9200
95,3,91,0,HATFIELD_STOCKS,9300
90,0,86,0,COLLINGWOOD_STOCKS,9300
219,0,215,0,CHADS_STOCKS,9300
89,0,87,0,JOHNS_STOCKS,9300
208,0,202,3,CASTLE_STOCKS,9300
145,1,141,0,CUTHS_STOCKS,9300
95,1,91,1,HATFIELD_STOCKS,9400
90,1,86,2,COLLINGWOOD_STOCKS,9400
218,0,216,0,CHADS_STOCKS,9400
88,3,86,0,JOHNS_STOCKS,9400
208,4,202,1,CASTLE_STOCKS,9400
145,1,141,0,CUTHS_STOCKS,9400
96,3,92,3,HATFIELD_STOCKS,9500
91,1,87,0,COLLINGWOOD_STOCKS,9500
218,0,216,1,CHADS_STOCKS,9500
90,2,86,2,JOHNS_STOCKS,9500
208,2,202,0,CASTLE_STOCKS,9500
145,1,141,1,CUTHS_STOCKS,9500
95,0,91,0,HATFIELD_STOCKS,9600
91,1,87,1,COLLINGWOOD_STOCKS,9600
220,0,218,0,CHADS_STOCKS,9600
92,0,88,0,JOHNS_STOCKS,9600
209,0,201,6,CASTLE_STOCKS,9600
144,1,142,4,CUTHS_STOCKS,9600
94,0,92,0,HATFIELD_STOCKS,9700
91,0,87,1,COLLINGWOOD_STOCKS,9700
220,0,216,0,CHADS_STOCKS,9700
91,0,89,0,JOHNS_STOCKS,9700
209,7,201,9,CASTLE_STOCKS,9700
145,0,141,0,CUTHS_STOCKS,9700
95,0,93,0,HATFIELD_STOCKS,9800
91,3,87,2,COLLINGWOOD_STOCKS,9800
219,1,215,0,CHADS_STOCKS,9800
90,3,88,0,JOHNS_STOCKS,9800
209,1,201,1,CASTLE_STOCKS,9800
145,0,141,0,CUTHS_STOCKS,9800
96,0,92,1,HATFIELD_STOCKS,9900
92,2,88,4,COLLINGWOOD_STOCKS,9900
